indice,num_tema_cadastrado,sugerido_1,similaridade_1,sugerido_2,similaridade_2,sugerido_3,similaridade_3,sugerido_4,similaridade_4,sugerido_5,similaridade_5,sugerido_6,similaridade_6,posicao_tema_real,similaridade_tema_real
53,14,1130,119.10460177745935,14,95.12080381018609,1224,79.59375368999557,10,75.48095230252355,1129,68.34147411497749,12,65.98820019456777,2,95.12080381018609
54,14,1130,97.81365350614493,698,69.90703557073819,1129,69.58905149377719,1033,66.57362409140016,14,64.63117047871759,10,64.44072849104978,5,64.63117047871759
55,14,1130,125.69312850626393,12,87.72884790668574,1169,87.72884790668574,1071,78.82222193059582,1033,76.6754693052321,1129,75.2479819866414,22,38.61084476001566
56,14,1130,103.36450752680977,1075,74.81353553210495,1150,67.06855144147987,4,63.73413866893322,12,62.32494496524183,1169,62.32494496524183,25,41.51131835089403
57,14,1075,113.18604415337745,885,103.38428182550855,1056,84.78708221382729,1071,71.82546094216276,4,71.22751113511582,1130,62.91367701217222,40,28.279158676821396
58,14,1130,236.22048424359542,1224,114.23832304404539,1071,113.03523450162574,698,97.1475805316456,1033,95.47047441511941,4,82.28412202034475,10,75.00751905460858
59,14,1130,133.00486933848632,14,80.06210226153753,1224,74.81011793195101,1129,70.80106448220636,698,66.99904036651428,1071,62.96158654665425,2,80.06210226153753
60,14,12,116.63046774323007,1169,116.63046774323007,1147,97.92739238289073,948,95.9474114835414,1075,89.0673099231906,10,86.28358739885883,14,62.87664164640475
61,14,1130,106.464671078659,1224,83.81994797791305,1071,70.8599441808438,534,69.54917258856113,1129,67.96119707568475,698,65.97265912553264,11,57.19091862376998
62,14,1130,112.20938703830357,1224,87.15772336029325,1129,80.50530364092874,698,80.02852615134215,10,74.86220252743483,1226,74.38339132328115,7,73.88080400001591
63,14,1130,249.3552451202734,1033,156.05232881885345,12,145.35173301760753,1169,145.35173301760753,948,117.58770231796872,480,113.5312314976696,11,79.57776912745375
64,14,1130,138.59015408504544,10,108.05923073395854,14,70.87315021829006,1071,68.48085489179074,1033,66.89999230243461,408,65.81031475432026,3,70.87315021829006
65,14,1033,119.9465804736644,1130,114.54401578331061,12,110.8441547071522,1169,110.8441547071522,948,103.48370508661243,1129,80.86695197682991,7,78.54536055767318
66,14,1130,236.22048424359542,1224,114.23832304404539,1071,113.03523450162574,698,97.1475805316456,1033,95.47047441511941,4,82.28412202034475,10,75.00751905460858
67,14,1130,129.55344103721094,12,106.27871195175969,1169,106.27871195175969,1033,93.14916323109986,1071,78.82222193059582,1129,74.01839011370213,24,38.61084476001565
68,14,1075,91.4807047692911,12,86.7291960301026,1169,86.7291960301026,1130,84.76152593556856,948,77.58130871056838,10,75.25372940558941,7,71.8241330647835
69,14,1075,155.59594034006884,885,140.29597686811837,10,99.72395946980518,14,96.82140862061846,1056,94.75771938183766,12,87.76568809766952,4,96.82140862061846
70,14,1130,120.73602325637265,12,106.2787119517597,1169,106.2787119517597,1033,93.14916323109985,1129,84.74484462220575,1071,75.26744935016818,21,43.98715135726525
71,14,1130,215.47918375112633,1224,117.05105471019945,698,106.55265906293957,1071,101.69863326609851,1033,86.2551569437058,353,80.84227933749571,8,75.55976764049218
72,14,1075,155.59594034006884,885,140.29597686811837,10,99.72395946980518,14,96.82140862061846,1056,94.75771938183766,12,87.76568809766952,4,96.82140862061846
