indice,num_tema_cadastrado,sugerido_1,similaridade_1,sugerido_2,similaridade_2,sugerido_3,similaridade_3,sugerido_4,similaridade_4,sugerido_5,similaridade_5,sugerido_6,similaridade_6,posicao_tema_real,similaridade_tema_real
1721,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1722,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1723,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1724,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1725,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1726,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1727,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1728,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1729,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1730,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1731,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
